ts	httpadvanced_download_bandwidth
2021-06-01 00:02:46	1887.0
2021-06-01 00:07:46	2137.0
2021-06-01 00:12:46	2137.0
2021-06-01 00:17:46	2032.0
2021-06-01 00:22:46	2032.0
2021-06-01 00:27:46	1794.0
2021-06-01 00:32:46	1730.0
2021-06-01 00:37:46	1977.0
2021-06-01 00:42:46	2253.0
2021-06-01 00:47:46	2137.0
2021-06-01 00:52:46	2270.0
2021-06-01 00:57:46	2325.0
2021-06-01 01:02:46	2091.0
2021-06-01 01:07:46	2325.0
2021-06-01 01:12:46	2270.0
2021-06-01 01:17:46	2325.0
2021-06-01 01:22:46	2218.0
2021-06-01 01:27:46	2270.0
2021-06-01 01:32:46	2325.0
2021-06-01 01:37:46	2270.0
2021-06-01 01:42:46	2004.0
2021-06-01 01:47:46	2153.0
2021-06-01 01:52:46	2253.0
2021-06-01 01:57:46	2270.0
2021-06-01 02:02:46	2169.0
2021-06-01 02:07:46	2235.0
2021-06-01 02:12:46	1925.0
2021-06-01 02:17:46	2018.0
2021-06-01 02:22:46	2218.0
2021-06-01 02:27:46	1887.0
2021-06-01 02:32:46	2185.0
2021-06-01 02:37:46	2091.0
2021-06-01 02:42:46	1977.0
2021-06-01 02:47:46	2046.0
2021-06-01 02:52:46	2137.0
2021-06-01 02:57:46	2185.0
2021-06-01 03:02:46	1990.0
2021-06-01 03:07:46	2032.0
2021-06-01 03:12:46	2091.0
2021-06-01 03:17:46	1912.0
2021-06-01 03:22:46	1816.0
2021-06-01 03:27:46	2202.0
2021-06-01 03:32:46	2169.0
2021-06-01 03:37:46	2306.0
2021-06-01 03:42:46	2253.0
2021-06-01 03:47:46	2032.0
2021-06-01 03:52:46	2091.0
2021-06-01 03:57:46	2106.0
2021-06-01 04:02:46	2169.0
2021-06-01 04:07:46	2218.0
2021-06-01 04:12:46	2153.0
2021-06-01 04:17:46	2121.0
2021-06-01 04:22:46	2235.0
2021-06-01 04:27:46	2306.0
2021-06-01 04:32:46	2235.0
2021-06-01 04:37:46	2235.0
2021-06-01 04:42:46	2363.0
2021-06-01 04:47:46	2061.0
2021-06-01 04:52:46	2253.0
2021-06-01 04:57:46	2363.0
2021-06-01 05:02:46	2185.0
2021-06-01 05:07:46	2306.0
2021-06-01 05:12:46	2235.0
2021-06-01 05:17:46	2325.0
2021-06-01 05:22:46	2325.0
2021-06-01 05:27:46	2270.0
2021-06-01 05:32:46	2106.0
2021-06-01 05:37:46	2202.0
2021-06-01 05:42:46	2288.0
2021-06-01 05:47:46	2235.0
2021-06-01 05:52:46	2288.0
2021-06-01 05:57:46	2235.0
2021-06-01 06:02:46	2153.0
2021-06-01 06:07:46	1925.0
2021-06-01 06:12:46	1206.0
2021-06-01 06:17:46	1339.0
2021-06-01 06:22:46	2253.0
2021-06-01 06:27:46	2202.0
2021-06-01 06:32:46	2235.0
2021-06-01 06:37:46	2288.0
2021-06-01 06:42:46	2270.0
2021-06-01 06:47:46	2137.0
2021-06-01 06:52:46	2253.0
2021-06-01 06:57:46	2363.0
2021-06-01 07:02:46	2270.0
2021-06-01 07:07:46	2363.0
2021-06-01 07:12:46	2382.0
2021-06-01 07:17:46	2169.0
2021-06-01 07:22:46	2253.0
2021-06-01 07:27:46	2091.0
2021-06-01 07:32:46	2306.0
2021-06-01 07:37:46	2288.0
2021-06-01 07:42:46	2218.0
2021-06-01 07:47:46	2253.0
2021-06-01 07:52:46	2253.0
2021-06-01 07:57:46	2288.0
2021-06-01 08:02:46	1964.0
2021-06-01 08:07:46	1851.0
2021-06-01 08:12:46	1925.0
2021-06-01 08:17:46	2169.0
2021-06-01 08:22:46	2202.0
2021-06-01 08:27:46	2185.0
2021-06-01 08:32:46	2235.0
2021-06-01 08:37:46	2061.0
2021-06-01 08:42:46	2253.0
2021-06-01 08:47:46	2061.0
2021-06-01 08:52:46	2202.0
2021-06-01 08:57:46	2288.0
2021-06-01 09:02:46	2235.0
2021-06-01 09:07:46	2046.0
2021-06-01 09:12:46	2218.0
2021-06-01 09:17:46	2325.0
