ts	cloudhttp_asia_pacific_tokyo_response_time
2021-06-01 00:07:57	475.0
2021-06-01 00:17:57	405.0
2021-06-01 00:27:57	432.0
2021-06-01 00:37:57	400.0
2021-06-01 00:47:57	434.0
2021-06-01 00:57:57	358.0
2021-06-01 01:07:57	409.0
2021-06-01 01:17:57	404.0
2021-06-01 01:27:57	372.0
2021-06-01 01:37:57	436.0
2021-06-01 01:47:57	406.0
2021-06-01 01:57:57	435.0
2021-06-01 02:07:57	440.0
2021-06-01 02:17:57	425.0
2021-06-01 02:27:57	430.0
2021-06-01 02:37:57	364.0
2021-06-01 02:47:57	441.0
2021-06-01 02:57:57	297.0
2021-06-01 03:07:57	496.0
2021-06-01 03:17:57	459.0
2021-06-01 03:27:57	366.0
2021-06-01 03:37:57	467.0
2021-06-01 03:47:57	442.0
2021-06-01 03:57:57	412.0
2021-06-01 04:07:57	295.0
2021-06-01 04:17:57	401.0
2021-06-01 04:27:57	498.0
2021-06-01 04:37:57	141.0
2021-06-01 04:47:57	494.0
2021-06-01 04:57:57	452.0
2021-06-01 05:07:57	394.0
2021-06-01 05:17:57	227.0
2021-06-01 05:27:57	430.0
2021-06-01 05:37:57	466.0
2021-06-01 05:47:57	164.0
2021-06-01 05:57:57	437.0
2021-06-01 06:07:57	482.0
2021-06-01 06:17:57	357.0
2021-06-01 06:27:57	496.0
2021-06-01 06:37:57	465.0
2021-06-01 06:47:57	396.0
2021-06-01 06:57:57	476.0
2021-06-01 07:07:57	451.0
2021-06-01 07:17:57	449.0
2021-06-01 07:27:57	494.0
2021-06-01 07:37:57	462.0
2021-06-01 07:47:57	597.0
2021-06-01 07:57:57	765.0
2021-06-01 08:07:57	445.0
2021-06-01 08:17:57	588.0
2021-06-01 08:27:57	427.0
2021-06-01 08:37:57	647.0
2021-06-01 08:47:57	378.0
2021-06-01 08:57:57	601.0
2021-06-01 09:07:57	442.0
2021-06-01 09:17:57	415.0
2021-06-01 09:27:57	433.0
2021-06-01 09:37:57	413.0
2021-06-01 09:47:57	756.0
2021-06-01 09:57:57	652.0
2021-06-01 10:07:57	590.0
2021-06-01 10:17:57	438.0
2021-06-01 10:27:57	431.0
2021-06-01 10:37:57	739.0
2021-06-01 10:47:57	762.0
2021-06-01 10:57:57	424.0
2021-06-01 11:07:57	610.0
2021-06-01 11:17:57	489.0
2021-06-01 11:27:57	741.0
2021-06-01 11:37:57	619.0
2021-06-01 11:47:57	583.0
2021-06-01 11:57:57	434.0
2021-06-01 12:07:57	586.0
2021-06-01 12:17:57	411.0
2021-06-01 12:27:57	591.0
2021-06-01 12:37:57	425.0
2021-06-01 12:47:57	452.0
2021-06-01 12:57:57	453.0
2021-06-01 13:07:57	416.0
2021-06-01 13:17:57	750.0
2021-06-01 13:27:57	431.0
2021-06-01 13:37:57	146.0
2021-06-01 13:47:57	521.0
2021-06-01 13:57:57	93.0
2021-06-01 14:07:57	645.0
2021-06-01 14:17:57	116.0
2021-06-01 14:27:57	770.0
2021-06-01 14:37:57	131.0
2021-06-01 14:47:57	909.0
2021-06-01 14:57:57	437.0
2021-06-01 15:07:57	779.0
2021-06-01 15:17:57	745.0
2021-06-01 15:27:57	436.0
2021-06-01 15:37:57	763.0
2021-06-01 15:47:57	592.0
2021-06-01 15:57:57	408.0
2021-06-01 16:07:57	762.0
2021-06-01 16:17:57	747.0
2021-06-01 16:27:57	419.0
2021-06-01 16:37:57	274.0
2021-06-01 16:47:57	331.0
2021-06-01 16:57:57	769.0
2021-06-01 17:07:57	401.0
2021-06-01 17:17:57	857.0
2021-06-01 17:27:57	47.0
2021-06-01 17:37:57	784.0
2021-06-01 17:47:57	756.0
2021-06-01 17:57:57	389.0
2021-06-01 18:07:57	432.0
2021-06-01 18:17:57	570.0
2021-06-01 18:27:57	757.0
2021-06-01 18:37:57	413.0
2021-06-01 18:47:57	459.0
2021-06-01 18:57:57	448.0
2021-06-01 19:07:57	852.0
2021-06-01 19:17:57	806.0
2021-06-01 19:27:57	842.0
2021-06-01 19:37:57	836.0
2021-06-01 19:47:57	37.0
2021-06-01 19:57:57	885.0
2021-06-01 20:07:57	825.0
2021-06-01 20:17:57	885.0
2021-06-01 20:27:57	822.0
2021-06-01 20:37:57	407.0
2021-06-01 20:47:57	301.0
2021-06-01 20:57:57	889.0
2021-06-01 21:07:57	858.0
2021-06-01 21:17:57	975.0
2021-06-01 21:27:57	813.0
2021-06-01 21:37:57	979.0
2021-06-01 21:47:57	836.0
2021-06-01 21:57:57	772.0
2021-06-01 22:07:57	804.0
2021-06-01 22:17:57	887.0
2021-06-01 22:27:57	861.0
2021-06-01 22:37:57	796.0
2021-06-01 22:47:57	248.0
2021-06-01 22:57:57	770.0
2021-06-01 23:07:57	972.0
2021-06-01 23:17:57	866.0
2021-06-01 23:27:57	826.0
2021-06-01 23:37:57	929.0
2021-06-01 23:47:57	809.0
2021-06-01 23:57:57	2.0
2021-06-02 00:07:57	829.0
2021-06-02 00:17:57	908.0
2021-06-02 00:27:57	772.0
2021-06-02 00:37:57	909.0
2021-06-02 00:47:57	814.0
2021-06-02 00:57:57	850.0
2021-06-02 01:07:57	67.0
2021-06-02 01:17:57	913.0
2021-06-02 01:27:57	854.0
2021-06-02 01:37:57	863.0
2021-06-02 01:47:57	987.0
2021-06-02 01:57:57	692.0
2021-06-02 02:07:57	981.0
2021-06-02 02:17:57	720.0
2021-06-02 02:27:57	741.0
2021-06-02 02:37:57	734.0
2021-06-02 02:47:57	755.0
2021-06-02 02:57:57	911.0
2021-06-02 03:07:57	892.0
2021-06-02 03:17:57	768.0
2021-06-02 03:27:57	772.0
2021-06-02 03:37:57	756.0
2021-06-02 03:47:57	729.0
2021-06-02 03:57:57	755.0
2021-06-02 04:07:57	747.0
2021-06-02 04:17:57	776.0
2021-06-02 04:27:57	975.0
2021-06-02 04:37:57	32.0
2021-06-02 04:47:57	401.0
2021-06-02 04:57:57	770.0
2021-06-02 05:07:57	770.0
2021-06-02 05:17:57	772.0
2021-06-02 05:27:57	921.0
2021-06-02 05:37:57	735.0
2021-06-02 05:47:57	708.0
2021-06-02 05:57:57	929.0
2021-06-02 06:07:57	777.0
2021-06-02 06:17:57	802.0
2021-06-02 06:27:57	926.0
2021-06-02 06:37:57	893.0
2021-06-02 06:47:57	902.0
2021-06-02 06:57:57	771.0
2021-06-02 07:07:57	786.0
2021-06-02 07:17:57	720.0
2021-06-02 07:27:57	378.0
2021-06-02 07:37:57	936.0
2021-06-02 07:47:57	800.0
2021-06-02 07:57:57	914.0
2021-06-02 08:07:57	925.0
2021-06-02 08:17:57	731.0
2021-06-02 08:27:57	771.0
2021-06-02 08:37:57	904.0
2021-06-02 08:47:57	815.0
2021-06-02 08:57:58	804.0
2021-06-02 09:07:58	744.0
2021-06-02 09:17:58	926.0
2021-06-02 09:27:58	126.0
2021-06-02 09:37:58	182.0
2021-06-02 09:47:58	777.0
2021-06-02 09:57:58	919.0
2021-06-02 10:07:58	938.0
2021-06-02 10:17:58	744.0
2021-06-02 10:27:58	894.0
2021-06-02 10:37:58	837.0
2021-06-02 10:47:58	726.0
2021-06-02 10:57:58	767.0
2021-06-02 11:07:58	824.0
2021-06-02 11:17:58	231.0
2021-06-02 11:27:58	728.0
2021-06-02 11:37:58	737.0
2021-06-02 11:47:58	290.0
2021-06-02 11:57:58	807.0
2021-06-02 12:07:58	279.0
2021-06-02 12:17:58	759.0
2021-06-02 12:27:58	715.0
2021-06-02 12:37:58	748.0
2021-06-02 12:47:58	788.0
2021-06-02 12:57:58	830.0
2021-06-02 13:07:58	745.0
2021-06-02 13:17:58	717.0
2021-06-02 13:27:58	757.0
2021-06-02 13:37:58	742.0
2021-06-02 13:47:58	776.0
2021-06-02 13:57:58	737.0
2021-06-02 14:07:58	267.0
2021-06-02 14:17:58	769.0
2021-06-02 14:27:58	805.0
2021-06-02 14:37:58	843.0
2021-06-02 14:47:58	64.0
2021-06-02 14:57:58	745.0
2021-06-02 15:07:58	749.0
2021-06-02 15:17:58	784.0
2021-06-02 15:27:58	359.0
2021-06-02 15:37:58	761.0
2021-06-02 15:47:58	752.0
2021-06-02 15:57:58	767.0
2021-06-02 16:07:58	786.0
2021-06-02 16:17:58	815.0
2021-06-02 16:27:58	107.0
2021-06-02 16:37:58	936.0
2021-06-02 16:47:58	769.0
2021-06-02 16:57:58	792.0
2021-06-02 17:07:58	261.0
2021-06-02 17:17:58	737.0
2021-06-02 17:27:58	795.0
2021-06-02 17:37:58	11.0
2021-06-02 17:47:58	897.0
2021-06-02 17:57:58	725.0
2021-06-02 18:07:58	803.0
2021-06-02 18:17:58	794.0
2021-06-02 18:27:58	928.0
2021-06-02 18:37:58	704.0
2021-06-02 18:47:58	839.0
2021-06-02 18:57:58	757.0
2021-06-02 19:07:58	817.0
2021-06-02 19:17:58	727.0
2021-06-02 19:27:58	33.0
2021-06-02 19:37:58	19.0
2021-06-02 19:47:58	44.0
2021-06-02 19:57:58	49.0
2021-06-02 20:07:58	27.0
2021-06-02 20:17:58	66.0
2021-06-02 20:27:58	15.0
2021-06-02 20:37:58	85.0
2021-06-02 20:47:58	169.0
2021-06-02 20:57:58	995.0
2021-06-02 21:07:58	22.0
2021-06-02 21:17:58	120.0
2021-06-02 21:27:58	49.0
2021-06-02 21:37:58	44.0
2021-06-02 21:47:58	22.0
2021-06-02 21:57:58	792.0
2021-06-02 22:07:58	822.0
2021-06-02 22:17:58	812.0
2021-06-02 22:27:58	871.0
2021-06-02 22:37:58	842.0
2021-06-02 22:47:58	799.0
2021-06-02 22:57:58	797.0
2021-06-02 23:07:58	854.0
2021-06-02 23:17:58	798.0
2021-06-02 23:27:58	728.0
2021-06-02 23:37:58	840.0
2021-06-02 23:47:58	35.0
2021-06-02 23:57:58	806.0
2021-06-03 00:07:58	78.0
2021-06-03 00:17:58	853.0
2021-06-03 00:27:58	999.0
2021-06-03 00:37:58	807.0
2021-06-03 00:47:58	879.0
2021-06-03 00:57:58	794.0
2021-06-03 01:07:58	858.0
2021-06-03 01:17:58	844.0
2021-06-03 01:27:58	34.0
2021-06-03 01:37:58	878.0
2021-06-03 01:47:58	831.0
2021-06-03 01:57:58	51.0
2021-06-03 02:07:58	848.0
2021-06-03 02:17:58	112.0
2021-06-03 02:27:58	882.0
2021-06-03 02:37:58	841.0
2021-06-03 02:47:58	828.0
2021-06-03 02:57:58	842.0
2021-06-03 03:07:58	840.0
2021-06-03 03:17:58	832.0
2021-06-03 03:27:58	971.0
2021-06-03 03:37:58	845.0
2021-06-03 03:47:58	790.0
2021-06-03 03:57:58	827.0
2021-06-03 04:07:58	860.0
2021-06-03 04:17:58	796.0
2021-06-03 04:27:58	812.0
2021-06-03 04:37:58	527.0
2021-06-03 04:47:58	477.0
2021-06-03 04:57:58	469.0
2021-06-03 05:07:58	439.0
2021-06-03 05:17:58	429.0
2021-06-03 05:27:58	431.0
2021-06-03 05:37:58	451.0
2021-06-03 05:47:58	505.0
2021-06-03 05:57:58	395.0
2021-06-03 06:07:58	453.0
2021-06-03 06:17:58	443.0
2021-06-03 06:27:58	165.0
2021-06-03 06:37:58	439.0
2021-06-03 06:47:58	967.0
2021-06-03 06:57:58	479.0
2021-06-03 07:07:58	382.0
2021-06-03 07:17:58	134.0
2021-06-03 07:27:58	462.0
2021-06-03 07:37:58	466.0
2021-06-03 07:47:58	446.0
2021-06-03 07:57:58	445.0
2021-06-03 08:07:58	473.0
2021-06-03 08:17:58	405.0
2021-06-03 08:27:58	393.0
2021-06-03 08:37:58	656.0
2021-06-03 08:47:58	448.0
2021-06-03 08:57:58	457.0
2021-06-03 09:07:58	618.0
2021-06-03 09:17:58	420.0
2021-06-03 09:27:58	408.0
2021-06-03 09:37:58	444.0
2021-06-03 09:47:58	374.0
2021-06-03 09:57:58	499.0
2021-06-03 10:07:58	447.0
2021-06-03 10:17:58	439.0
2021-06-03 10:27:58	503.0
2021-06-03 10:37:58	465.0
2021-06-03 10:47:58	378.0
2021-06-03 10:57:58	400.0
2021-06-03 11:07:58	518.0
2021-06-03 11:17:58	423.0
2021-06-03 11:27:58	443.0
2021-06-03 11:37:58	456.0
2021-06-03 11:47:58	421.0
2021-06-03 11:57:58	519.0
2021-06-03 12:07:58	471.0
2021-06-03 12:17:58	460.0
2021-06-03 12:27:58	468.0
2021-06-03 12:37:58	611.0
2021-06-03 12:47:58	482.0
2021-06-03 12:57:58	428.0
