ts	wmiprocessor_total
2021-06-01 00:00:00	28.871
2021-06-01 00:01:00	38.9241
2021-06-01 00:02:00	32.1765
2021-06-01 00:03:00	28.7347
2021-06-01 00:04:00	27.5819
2021-06-01 00:05:00	27.2195
2021-06-01 00:06:00	28.4661
2021-06-01 00:07:00	29.2201
2021-06-01 00:08:00	32.4323
2021-06-01 00:09:00	33.9837
2021-06-01 00:10:00	37.1161
2021-06-01 00:11:00	44.8283
2021-06-01 00:12:00	36.1772
2021-06-01 00:13:00	29.3799
2021-06-01 00:14:00	28.7195
2021-06-01 00:15:00	29.1391
2021-06-01 00:16:00	29.3822
2021-06-01 00:17:00	31.6279
2021-06-01 00:18:00	29.1177
2021-06-01 00:19:00	28.8938
2021-06-01 00:20:00	29.2307
2021-06-01 00:21:00	39.5006
2021-06-01 00:22:00	31.247
2021-06-01 00:23:00	33.9524
2021-06-01 00:24:00	33.4422
2021-06-01 00:25:00	33.1784
2021-06-01 00:26:00	33.9108
2021-06-01 00:27:00	34.6129
2021-06-01 00:28:00	32.0931
2021-06-01 00:29:00	40.2254
2021-06-01 00:30:00	38.7453
2021-06-01 00:31:00	45.9173
2021-06-01 00:32:00	32.3442
2021-06-01 00:33:00	29.0667
2021-06-01 00:34:00	28.7589
2021-06-01 00:35:00	28.3318
2021-06-01 00:36:00	28.7427
2021-06-01 00:37:00	31.1261
2021-06-01 00:38:00	32.7516
2021-06-01 00:39:00	31.9381
2021-06-01 00:40:00	38.6615
2021-06-01 00:41:00	47.8932
2021-06-01 00:42:00	39.2573
2021-06-01 00:43:00	29.1494
2021-06-01 00:44:00	27.8336
2021-06-01 00:45:00	28.4632
2021-06-01 00:46:00	28.8738
2021-06-01 00:47:00	31.2001
2021-06-01 00:48:00	28.9505
2021-06-01 00:49:00	28.774
2021-06-01 00:50:00	29.209
2021-06-01 00:51:00	40.2223
2021-06-01 00:52:00	43.1352
2021-06-01 00:53:00	37.4404
2021-06-01 00:54:00	33.0223
2021-06-01 00:55:00	33.0623
2021-06-01 00:56:00	33.2465
2021-06-01 00:57:00	32.0603
2021-06-01 00:58:00	29.882
2021-06-01 00:59:00	27.8362
2021-06-01 01:00:00	29.1321
2021-06-01 01:01:00	40.5072
2021-06-01 01:02:00	36.6271
2021-06-01 01:03:00	29.4383
2021-06-01 01:04:00	28.4438
2021-06-01 01:05:00	28.4686
2021-06-01 01:06:00	28.6827
2021-06-01 01:07:00	30.3013
2021-06-01 01:08:00	34.2664
2021-06-01 01:09:00	35.6567
2021-06-01 01:10:00	37.242
2021-06-01 01:11:00	45.867
2021-06-01 01:12:00	34.036
2021-06-01 01:13:00	29.453
2021-06-01 01:14:00	28.3552
2021-06-01 01:15:00	28.596
2021-06-01 01:16:00	29.3859
2021-06-01 01:17:00	31.4653
2021-06-01 01:18:00	29.1802
2021-06-01 01:19:00	28.8897
2021-06-01 01:20:00	29.0607
2021-06-01 01:21:00	38.6494
2021-06-01 01:22:00	31.3992
2021-06-01 01:23:00	33.1956
2021-06-01 01:24:00	32.841
2021-06-01 01:25:00	32.8505
2021-06-01 01:26:00	32.8792
2021-06-01 01:27:00	34.7016
2021-06-01 01:28:00	31.5237
2021-06-01 01:29:00	40.0031
2021-06-01 01:30:00	37.9371
2021-06-01 01:31:00	46.862
2021-06-01 01:32:00	36.7229
2021-06-01 01:33:00	29.3067
2021-06-01 01:34:00	28.457
2021-06-01 01:35:00	28.7859
2021-06-01 01:36:00	29.2554
2021-06-01 01:37:00	31.3915
2021-06-01 01:38:00	32.8762
2021-06-01 01:39:00	33.2869
2021-06-01 01:40:00	35.9258
2021-06-01 01:41:00	49.2657
2021-06-01 01:42:00	35.096
2021-06-01 01:43:00	28.8833
2021-06-01 01:44:00	27.9264
2021-06-01 01:45:00	28.1123
2021-06-01 01:46:00	28.6942
2021-06-01 01:47:00	30.8362
2021-06-01 01:48:00	28.5284
2021-06-01 01:49:00	28.4374
2021-06-01 01:50:00	29.1669
2021-06-01 01:51:00	38.5126
2021-06-01 01:52:00	31.3548
2021-06-01 01:53:00	34.5905
2021-06-01 01:54:00	34.9539
2021-06-01 01:55:00	33.8534
2021-06-01 01:56:00	34.0882
2021-06-01 01:57:00	33.1563
2021-06-01 01:58:00	29.9535
2021-06-01 01:59:00	27.7939
2021-06-01 02:00:00	29.3105
2021-06-01 02:01:00	41.5383
2021-06-01 02:02:00	32.8916
2021-06-01 02:03:00	29.0634
2021-06-01 02:04:00	28.6641
2021-06-01 02:05:00	29.114
2021-06-01 02:06:00	28.8272
2021-06-01 02:07:00	31.0694
2021-06-01 02:08:00	33.5048
2021-06-01 02:09:00	35.1469
2021-06-01 02:10:00	34.9598
2021-06-01 02:11:00	48.7714
2021-06-01 02:12:00	45.7184
2021-06-01 02:13:00	32.5203
2021-06-01 02:14:00	28.3177
2021-06-01 02:15:00	28.5268
2021-06-01 02:16:00	29.2656
2021-06-01 02:17:00	31.4482
2021-06-01 02:18:00	29.113
2021-06-01 02:19:00	28.4059
2021-06-01 02:20:00	29.0178
2021-06-01 02:21:00	39.8182
2021-06-01 02:22:00	43.3376
2021-06-01 02:23:00	36.0659
2021-06-01 02:24:00	32.5148
2021-06-01 02:25:00	32.6071
2021-06-01 02:26:00	32.2988
2021-06-01 02:27:00	35.607
