ts	snmplinuxmeminfo_percent_available_memory
2021-06-01 00:00:22	73.0
2021-06-01 00:05:22	73.0
2021-06-01 00:10:22	73.0
2021-06-01 00:15:22	73.0
2021-06-01 00:20:22	73.0
2021-06-01 00:25:22	73.0
2021-06-01 00:30:22	73.0
2021-06-01 00:35:22	73.0
2021-06-01 00:40:22	73.0
2021-06-01 00:45:22	73.0
2021-06-01 00:50:22	73.0
2021-06-01 00:55:22	73.0
2021-06-01 01:00:22	73.0
2021-06-01 01:05:22	73.0
2021-06-01 01:10:22	73.0
2021-06-01 01:15:22	73.0
2021-06-01 01:20:22	73.0
2021-06-01 01:25:22	73.0
2021-06-01 01:30:22	73.0
2021-06-01 01:35:22	73.0
2021-06-01 01:40:22	73.0
2021-06-01 01:45:22	73.0
2021-06-01 01:50:22	73.0
2021-06-01 01:55:22	73.0
2021-06-01 02:00:22	73.0
2021-06-01 02:05:22	73.0
2021-06-01 02:10:22	73.0
2021-06-01 02:15:22	73.0
2021-06-01 02:20:22	73.0
2021-06-01 02:25:22	73.0
2021-06-01 02:30:22	73.0
2021-06-01 02:35:22	73.0
2021-06-01 02:40:22	73.0
2021-06-01 02:45:22	73.0
2021-06-01 02:50:22	73.0
2021-06-01 02:55:22	73.0
2021-06-01 03:00:22	73.0
2021-06-01 03:05:22	73.0
2021-06-01 03:10:22	73.0
2021-06-01 03:15:22	73.0
2021-06-01 03:20:22	73.0
2021-06-01 03:25:22	73.0
2021-06-01 03:30:22	73.0
2021-06-01 03:35:22	73.0
2021-06-01 03:40:22	73.0
2021-06-01 03:45:22	73.0
2021-06-01 03:50:22	73.0
2021-06-01 03:55:22	73.0
2021-06-01 04:00:22	73.0
2021-06-01 04:05:22	73.0
2021-06-01 04:10:22	73.0
2021-06-01 04:15:22	73.0
2021-06-01 04:20:22	73.0
2021-06-01 04:25:22	73.0
2021-06-01 04:30:22	73.0
2021-06-01 04:35:22	73.0
2021-06-01 04:40:22	73.0
2021-06-01 04:45:22	73.0
2021-06-01 04:50:22	73.0
2021-06-01 04:55:22	73.0
2021-06-01 05:00:22	73.0
2021-06-01 05:05:22	73.0
2021-06-01 05:10:22	73.0
2021-06-01 05:15:22	73.0
2021-06-01 05:20:22	73.0
2021-06-01 05:25:22	73.0
2021-06-01 05:30:22	73.0
2021-06-01 05:35:22	73.0
2021-06-01 05:40:22	73.0
2021-06-01 05:45:22	73.0
2021-06-01 05:50:22	73.0
2021-06-01 05:55:22	73.0
2021-06-01 06:00:22	73.0
2021-06-01 06:05:22	73.0
2021-06-01 06:10:22	73.0
2021-06-01 06:15:22	73.0
2021-06-01 06:20:22	73.0
2021-06-01 06:25:22	73.0
2021-06-01 06:30:22	73.0
2021-06-01 06:35:22	73.0
2021-06-01 06:40:22	73.0
2021-06-01 06:45:22	73.0
2021-06-01 06:50:22	73.0
2021-06-01 06:55:22	73.0
2021-06-01 07:00:22	73.0
2021-06-01 07:05:22	73.0
2021-06-01 07:10:22	73.0
2021-06-01 07:15:22	73.0
2021-06-01 07:20:22	73.0
2021-06-01 07:25:22	73.0
2021-06-01 07:30:22	73.0
2021-06-01 07:35:22	73.0
2021-06-01 07:40:22	73.0
2021-06-01 07:45:22	73.0
2021-06-01 07:50:22	73.0
2021-06-01 07:55:22	73.0
2021-06-01 08:00:22	73.0
2021-06-01 08:05:22	73.0
2021-06-01 08:10:22	73.0
2021-06-01 08:15:22	73.0
2021-06-01 08:20:22	73.0
2021-06-01 08:25:22	73.0
2021-06-01 08:30:22	73.0
2021-06-01 08:35:22	73.0
2021-06-01 08:40:22	73.0
2021-06-01 08:45:22	73.0
2021-06-01 08:50:22	73.0
2021-06-01 08:55:22	73.0
2021-06-01 09:00:22	73.0
2021-06-01 09:05:22	73.0
2021-06-01 09:10:22	73.0
2021-06-01 09:15:22	73.0
2021-06-01 09:20:22	73.0
2021-06-01 09:25:22	73.0
2021-06-01 09:30:22	73.0
2021-06-01 09:35:22	73.0
2021-06-01 09:40:22	73.0
2021-06-01 09:45:22	73.0
2021-06-01 09:50:22	73.0
2021-06-01 09:55:22	73.0
2021-06-01 10:00:22	73.0
2021-06-01 10:05:22	73.0
2021-06-01 10:10:22	73.0
2021-06-01 10:15:22	73.0
2021-06-01 10:20:22	73.0
2021-06-01 10:25:22	73.0
2021-06-01 10:30:22	73.0
2021-06-01 10:35:22	73.0
2021-06-01 10:40:22	73.0
2021-06-01 10:45:22	73.0
2021-06-01 10:50:22	73.0
2021-06-01 10:55:22	73.0
2021-06-01 11:00:22	73.0
2021-06-01 11:05:22	73.0
2021-06-01 11:10:22	73.0
2021-06-01 11:15:22	73.0
2021-06-01 11:20:22	73.0
2021-06-01 11:25:22	73.0
2021-06-01 11:30:22	73.0
2021-06-01 11:35:22	73.0
2021-06-01 11:40:22	73.0
2021-06-01 11:45:22	73.0
2021-06-01 11:50:22	73.0
2021-06-01 11:55:22	73.0
2021-06-01 12:00:22	73.0
2021-06-01 12:05:22	73.0
2021-06-01 12:10:22	73.0
2021-06-01 12:15:22	73.0
2021-06-01 12:20:22	73.0
2021-06-01 12:25:22	73.0
2021-06-01 12:30:22	73.0
2021-06-01 12:35:22	73.0
2021-06-01 12:40:22	73.0
2021-06-01 12:45:22	73.0
2021-06-01 12:50:22	73.0
