ts	snmprmon_packets_65_127_bytes_speed
2021-06-01 00:00:20	316.4
2021-06-01 00:01:20	320.8701
2021-06-01 00:02:20	306.5022
2021-06-01 00:03:20	322.3796
2021-06-01 00:04:20	294.3481
2021-06-01 00:05:20	281.1302
2021-06-01 00:06:20	285.1809
2021-06-01 00:07:20	297.2338
2021-06-01 00:08:20	289.0463
2021-06-01 00:09:20	306.1
2021-06-01 00:10:20	277.8537
2021-06-01 00:11:20	293.1167
2021-06-01 00:12:20	291.0652
2021-06-01 00:13:20	291.1
2021-06-01 00:14:20	267.728
2021-06-01 00:15:20	319.8366
2021-06-01 00:16:20	298.133
2021-06-01 00:17:20	321.0035
2021-06-01 00:18:20	296.3506
2021-06-01 00:19:20	312.0373
2021-06-01 00:20:20	287.8313
2021-06-01 00:21:20	295.3492
2021-06-01 00:22:20	311.898
2021-06-01 00:23:20	255.3149
2021-06-01 00:24:20	297.5817
2021-06-01 00:25:20	314.4143
2021-06-01 00:26:20	261.4936
2021-06-01 00:27:20	284.55
2021-06-01 00:28:20	304.0667
2021-06-01 00:29:20	325.1417
2021-06-01 00:30:20	305.6833
2021-06-01 00:31:20	304.2514
2021-06-01 00:32:20	306.1167
2021-06-01 00:33:20	301.2833
2021-06-01 00:34:20	285.9977
2021-06-01 00:35:20	325.8543
2021-06-01 00:36:20	378.9202
2021-06-01 00:37:20	408.5862
2021-06-01 00:38:20	355.4223
2021-06-01 00:39:20	343.2027
2021-06-01 00:40:20	337.3271
2021-06-01 00:41:20	320.25
2021-06-01 00:42:20	327.888
2021-06-01 00:43:20	278.0297
2021-06-01 00:44:20	320.5167
2021-06-01 00:45:20	324.1374
2021-06-01 00:46:20	357.9
2021-06-01 00:47:20	311.0018
2021-06-01 00:48:20	330.6898
2021-06-01 00:49:20	295.2476
2021-06-01 00:50:20	297.4162
2021-06-01 00:51:20	309.5683
2021-06-01 00:52:20	276.7205
2021-06-01 00:53:20	339.1565
2021-06-01 00:54:20	292.35
2021-06-01 00:55:20	302.8843
2021-06-01 00:56:20	286.3356
2021-06-01 00:57:20	293.7656
2021-06-01 00:58:20	312.9167
2021-06-01 00:59:20	298.6162
2021-06-01 01:00:20	322.5167
2021-06-01 01:01:20	309.1849
2021-06-01 01:02:20	296.3167
2021-06-01 01:03:20	295.85
2021-06-01 01:04:20	297.1329
2021-06-01 01:05:20	318.003
2021-06-01 01:06:20	309.7683
2021-06-01 01:07:20	296.7505
2021-06-01 01:08:20	305.1017
2021-06-01 01:09:20	286.231
2021-06-01 01:10:20	317.5696
2021-06-01 01:11:20	304.5826
2021-06-01 01:12:20	326.8667
2021-06-01 01:13:20	298.8502
2021-06-01 01:14:20	302.8019
2021-06-01 01:15:20	335.0558
2021-06-01 01:16:20	332.9167
2021-06-01 01:17:20	287.5646
2021-06-01 01:18:20	293.9167
2021-06-01 01:19:20	294.85
2021-06-01 01:20:20	297.4491
2021-06-01 01:21:20	312.5667
2021-06-01 01:22:20	313.5167
2021-06-01 01:23:20	314.8401
2021-06-01 01:24:20	283.0692
2021-06-01 01:25:20	276.6128
2021-06-01 01:26:20	349.0585
2021-06-01 01:27:20	340.8568
2021-06-01 01:28:20	363.4667
2021-06-01 01:29:20	322.2407
2021-06-01 01:30:20	332.9278
2021-06-01 01:31:20	303.968
2021-06-01 01:32:20	330.0
2021-06-01 01:33:20	354.4757
2021-06-01 01:34:20	368.7156
2021-06-01 01:35:20	358.4125
2021-06-01 01:36:20	344.7741
2021-06-01 01:37:20	365.1725
2021-06-01 01:38:20	345.2667
2021-06-01 01:39:20	302.718
2021-06-01 01:40:20	342.0097
2021-06-01 01:41:20	336.1621
2021-06-01 01:42:20	331.4271
2021-06-01 01:43:20	330.9615
2021-06-01 01:44:20	322.1204
2021-06-01 01:45:20	359.2129
2021-06-01 01:46:20	318.3136
2021-06-01 01:47:20	292.8821
2021-06-01 01:48:20	304.6667
2021-06-01 01:49:20	321.3869
2021-06-01 01:50:20	337.4167
2021-06-01 01:51:20	340.8303
2021-06-01 01:52:20	348.6586
2021-06-01 01:53:20	379.1167
2021-06-01 01:54:20	357.3691
2021-06-01 01:55:20	377.6629
2021-06-01 01:56:20	307.7654
2021-06-01 01:57:20	295.5659
2021-06-01 01:58:20	288.5
2021-06-01 01:59:20	327.6333
2021-06-01 02:00:20	317.3196
2021-06-01 02:01:20	334.5615
2021-06-01 02:02:20	363.1939
2021-06-01 02:03:20	318.6864
2021-06-01 02:04:20	297.4833
2021-06-01 02:05:20	297.5667
2021-06-01 02:06:20	337.8896
2021-06-01 02:07:20	325.7
2021-06-01 02:08:20	384.0833
2021-06-01 02:09:20	333.4445
2021-06-01 02:10:20	357.0095
2021-06-01 02:11:20	376.1206
2021-06-01 02:12:20	361.9603
2021-06-01 02:13:20	351.6005
2021-06-01 02:14:20	345.3076
2021-06-01 02:15:20	367.3888
2021-06-01 02:16:20	368.8396
2021-06-01 02:17:20	332.3721
2021-06-01 02:18:20	354.4667
2021-06-01 02:19:20	308.8167
2021-06-01 02:20:20	314.7049
2021-06-01 02:21:20	381.2198
2021-06-01 02:22:20	324.104
2021-06-01 02:23:20	348.4581
2021-06-01 02:24:20	294.5158
2021-06-01 02:25:20	260.01
2021-06-01 02:26:20	352.6167
2021-06-01 02:27:20	328.8333
2021-06-01 02:28:20	283.0667
2021-06-01 02:29:20	269.7232
2021-06-01 02:30:20	279.0333
2021-06-01 02:31:20	334.6167
2021-06-01 02:32:20	340.4468
2021-06-01 02:33:20	315.4833
2021-06-01 02:34:20	326.3833
2021-06-01 02:35:20	273.5623
2021-06-01 02:36:20	325.1
2021-06-01 02:37:20	313.8333
2021-06-01 02:38:20	276.5461
2021-06-01 02:39:20	320.8264
2021-06-01 02:40:20	314.6407
2021-06-01 02:41:20	287.2667
2021-06-01 02:42:20	327.2379
2021-06-01 02:43:20	264.4785
2021-06-01 02:44:20	293.3289
2021-06-01 02:45:20	291.3
2021-06-01 02:46:20	308.6014
2021-06-01 02:47:20	318.0863
2021-06-01 02:48:20	305.4833
2021-06-01 02:49:20	294.199
2021-06-01 02:50:20	281.8136
2021-06-01 02:51:20	293.8323
2021-06-01 02:52:20	310.1
2021-06-01 02:53:20	286.4121
2021-06-01 02:54:20	346.8411
2021-06-01 02:55:20	312.95
2021-06-01 02:56:20	294.2833
2021-06-01 02:57:20	331.9833
2021-06-01 02:58:20	303.2661
2021-06-01 02:59:20	292.8619
2021-06-01 03:00:20	321.763
2021-06-01 03:01:20	313.869
2021-06-01 03:02:20	287.5479
2021-06-01 03:03:20	299.7166
2021-06-01 03:04:20	292.8
2021-06-01 03:05:20	288.9315
2021-06-01 03:06:20	293.0155
2021-06-01 03:07:20	292.3333
2021-06-01 03:08:20	277.7907
2021-06-01 03:09:20	342.8119
2021-06-01 03:10:20	349.5249
2021-06-01 03:11:20	382.3
2021-06-01 03:12:20	379.3299
2021-06-01 03:13:20	391.85
2021-06-01 03:14:20	352.3341
2021-06-01 03:15:20	321.9963
2021-06-01 03:16:20	371.4405
2021-06-01 03:17:20	311.55
2021-06-01 03:18:20	301.3491
2021-06-01 03:19:20	303.5696
2021-06-01 03:20:20	340.997
2021-06-01 03:21:20	321.2
2021-06-01 03:22:20	374.4
2021-06-01 03:23:20	348.5167
2021-06-01 03:24:20	306.9356
2021-06-01 03:25:20	300.6501
2021-06-01 03:26:20	288.8185
2021-06-01 03:27:20	297.1995
2021-06-01 03:28:20	346.9667
2021-06-01 03:29:20	344.6149
2021-06-01 03:30:20	376.6372
2021-06-01 03:31:20	321.5072
2021-06-01 03:32:20	340.15
2021-06-01 03:33:20	357.5667
2021-06-01 03:34:20	287.9647
2021-06-01 03:35:20	328.7548
2021-06-01 03:36:20	334.4557
2021-06-01 03:37:20	323.1295
2021-06-01 03:38:20	332.7943
2021-06-01 03:39:20	355.4741
2021-06-01 03:40:20	390.3151
2021-06-01 03:41:20	394.5991
2021-06-01 03:42:20	342.05
2021-06-01 03:43:20	317.856
2021-06-01 03:44:20	348.5833
2021-06-01 03:45:20	288.8129
2021-06-01 03:46:20	313.1311
2021-06-01 03:47:20	337.1395
2021-06-01 03:48:20	338.6769
2021-06-01 03:49:20	326.3088
2021-06-01 03:50:20	364.3881
2021-06-01 03:51:20	347.9747
2021-06-01 03:52:20	352.2174
2021-06-01 03:53:20	305.5
2021-06-01 03:54:20	322.8371
2021-06-01 03:55:20	280.3667
2021-06-01 03:56:20	318.153
2021-06-01 03:57:20	319.3167
2021-06-01 03:58:20	334.6891
2021-06-01 03:59:20	264.0107
2021-06-01 04:00:20	299.9
2021-06-01 04:01:20	260.9333
2021-06-01 04:02:20	280.05
2021-06-01 04:03:20	294.0147
2021-06-01 04:04:20	265.0108
2021-06-01 04:05:20	312.2813
2021-06-01 04:06:20	308.1847
2021-06-01 04:07:20	291.7
2021-06-01 04:08:20	298.6164
2021-06-01 04:09:20	269.1949
2021-06-01 04:10:20	277.2
2021-06-01 04:11:20	312.921
2021-06-01 04:12:20	312.048
2021-06-01 04:13:20	318.5562
2021-06-01 04:14:20	305.8833
2021-06-01 04:15:20	286.6122
2021-06-01 04:16:20	305.9823
2021-06-01 04:17:20	333.15
2021-06-01 04:18:20	289.063
2021-06-01 04:19:20	328.0547
2021-06-01 04:20:20	258.5667
2021-06-01 04:21:20	285.7167
