ts	snmprmon_packets__64_byte_speed
2021-06-01 00:00:35	7.1024
2021-06-01 00:01:35	6.8322
2021-06-01 00:02:35	7.0345
2021-06-01 00:03:35	7.3796
2021-06-01 00:04:35	7.4037
2021-06-01 00:05:35	7.1833
2021-06-01 00:06:35	7.4525
2021-06-01 00:07:35	7.5333
2021-06-01 00:08:35	559.9667
2021-06-01 00:09:35	7.4988
2021-06-01 00:10:35	7.5204
2021-06-01 00:11:35	7.1
2021-06-01 00:12:35	7.55
2021-06-01 00:13:35	7.4846
2021-06-01 00:14:35	7.45
2021-06-01 00:15:35	7.1476
2021-06-01 00:16:35	7.555
2021-06-01 00:17:35	7.3167
2021-06-01 00:18:35	7.1667
2021-06-01 00:19:35	7.45
2021-06-01 00:20:35	7.5859
2021-06-01 00:21:35	7.1
2021-06-01 00:22:35	7.6
2021-06-01 00:23:35	8.2486
2021-06-01 00:24:35	7.1857
2021-06-01 00:25:35	7.5425
2021-06-01 00:26:35	7.2215
2021-06-01 00:27:35	7.2858
2021-06-01 00:28:35	7.5705
2021-06-01 00:29:35	7.4333
2021-06-01 00:30:35	7.1167
2021-06-01 00:31:35	7.4358
2021-06-01 00:32:35	7.4
2021-06-01 00:33:35	7.1833
2021-06-01 00:34:35	7.4
2021-06-01 00:35:35	7.5859
2021-06-01 00:36:35	7.1
2021-06-01 00:37:35	7.5513
2021-06-01 00:38:35	8.2986
2021-06-01 00:39:35	7.1345
2021-06-01 00:40:35	7.5358
2021-06-01 00:41:35	7.1179
2021-06-01 00:42:35	7.3333
2021-06-01 00:43:35	7.5
2021-06-01 00:44:35	7.35
2021-06-01 00:45:35	7.1357
2021-06-01 00:46:35	7.4963
2021-06-01 00:47:35	7.9873
2021-06-01 00:48:35	7.6513
2021-06-01 00:49:35	8.1014
2021-06-01 00:50:35	8.7
2021-06-01 00:51:35	7.6987
2021-06-01 00:52:35	8.2875
2021-06-01 00:53:35	8.7167
2021-06-01 00:54:35	7.3512
2021-06-01 00:55:35	7.768
2021-06-01 00:56:35	8.2
2021-06-01 00:57:35	7.2667
2021-06-01 00:58:35	7.7526
2021-06-01 00:59:35	7.2333
2021-06-01 01:00:35	7.081
2021-06-01 01:01:35	7.4704
2021-06-01 01:02:35	7.1833
2021-06-01 01:03:35	6.85
2021-06-01 01:04:35	7.2179
2021-06-01 01:05:35	7.2309
2021-06-01 01:06:35	6.9213000000000005
2021-06-01 01:07:35	7.2
2021-06-01 01:08:35	533.3167
2021-06-01 01:09:35	7.1833
2021-06-01 01:10:35	7.1845
2021-06-01 01:11:35	7.3667
2021-06-01 01:12:35	7.6846
2021-06-01 01:13:35	6.9012
2021-06-01 01:14:35	7.3488
2021-06-01 01:15:35	7.1667
2021-06-01 01:16:35	7.0357
2021-06-01 01:17:35	7.6321
2021-06-01 01:18:35	7.2024
2021-06-01 01:19:35	6.8833
2021-06-01 01:20:36	7.2423
2021-06-01 01:21:35	7.259
2021-06-01 01:22:35	6.9178
2021-06-01 01:23:35	8.4167
2021-06-01 01:24:35	7.2691
2021-06-01 01:25:35	6.8667
2021-06-01 01:26:35	7.2167
2021-06-01 01:27:35	7.3346
2021-06-01 01:28:35	6.9
2021-06-01 01:29:35	7.4154
2021-06-01 01:30:35	7.2024
2021-06-01 01:31:35	7.2
2021-06-01 01:32:35	6.8
2021-06-01 01:33:35	7.35
2021-06-01 01:34:35	7.1333
2021-06-01 01:35:35	6.9023
2021-06-01 01:36:35	7.1012
2021-06-01 01:37:35	7.2333
2021-06-01 01:38:35	7.8154
2021-06-01 01:39:35	7.3358
2021-06-01 01:40:35	7.2512
2021-06-01 01:41:35	6.95
2021-06-01 01:42:35	7.3012
2021-06-01 01:43:35	7.4012
2021-06-01 01:44:35	6.9322
2021-06-01 01:45:35	7.35
2021-06-01 01:46:35	7.8693
2021-06-01 01:47:35	7.1667
2021-06-01 01:48:35	7.35
2021-06-01 01:49:35	7.1512
2021-06-01 01:50:35	6.9977
2021-06-01 01:51:35	6.969
2021-06-01 01:52:35	7.2012
2021-06-01 01:53:35	7.65
2021-06-01 01:54:35	7.1012
2021-06-01 01:55:35	7.3167
2021-06-01 01:56:35	7.1167
2021-06-01 01:57:35	6.8511
2021-06-01 01:58:35	7.3167
2021-06-01 01:59:35	7.2036
2021-06-01 02:00:35	6.9167
2021-06-01 02:01:35	7.1345
2021-06-01 02:02:35	7.2
2021-06-01 02:03:35	6.7667
2021-06-01 02:04:35	6.9
2021-06-01 02:05:35	6.7011
2021-06-01 02:06:35	6.5
2021-06-01 02:07:35	6.9190000000000005
2021-06-01 02:08:35	629.45
2021-06-01 02:09:35	6.8167
2021-06-01 02:10:35	7.0643
2021-06-01 02:11:35	7.1703
2021-06-01 02:12:35	6.8511
2021-06-01 02:13:35	7.2179
2021-06-01 02:14:35	7.1167
2021-06-01 02:15:35	7.15
2021-06-01 02:16:35	7.4191
2021-06-01 02:17:35	7.4667
2021-06-01 02:18:35	7.25
2021-06-01 02:19:35	7.1012
2021-06-01 02:20:35	7.4
2021-06-01 02:21:35	7.1667
2021-06-01 02:22:35	7.4525
2021-06-01 02:23:35	8.1347
2021-06-01 02:24:35	7.05
2021-06-01 02:25:35	7.2679
2021-06-01 02:26:35	7.4321
2021-06-01 02:27:35	7.0833
2021-06-01 02:28:35	7.2012
2021-06-01 02:29:35	7.3679
2021-06-01 02:30:35	7.3667
2021-06-01 02:31:35	7.2
2021-06-01 02:32:35	7.3346
2021-06-01 02:33:35	7.5475
2021-06-01 02:34:35	7.0869
2021-06-01 02:35:35	7.35
2021-06-01 02:36:35	7.35
2021-06-01 02:37:35	7.0857
2021-06-01 02:38:35	8.2667
2021-06-01 02:39:35	7.3333
2021-06-01 02:40:35	7.1667
2021-06-01 02:41:35	7.2691
2021-06-01 02:42:35	7.4321
2021-06-01 02:43:35	7.0357
2021-06-01 02:44:35	7.2345
2021-06-01 02:45:35	7.5167
2021-06-01 02:46:35	7.2833
2021-06-01 02:47:35	7.2858
2021-06-01 02:48:35	7.4488
2021-06-01 02:49:35	7.3346
2021-06-01 02:50:35	7.0512
2021-06-01 02:51:35	7.3667
2021-06-01 02:52:35	7.4012
2021-06-01 02:53:35	7.8167
2021-06-01 02:54:35	7.15
2021-06-01 02:55:35	7.0512
2021-06-01 02:56:35	6.85
2021-06-01 02:57:35	7.1
2021-06-01 02:58:35	7.1012
2021-06-01 02:59:35	7.0833
2021-06-01 03:00:35	6.7667
2021-06-01 03:01:35	7.0833
2021-06-01 03:02:35	7.1
2021-06-01 03:03:35	6.9023
2021-06-01 03:04:35	7.2833
2021-06-01 03:05:35	6.9
2021-06-01 03:06:35	7.1012
2021-06-01 03:07:35	7.1167
2021-06-01 03:08:35	693.999
2021-06-01 03:09:35	7.2167
2021-06-01 03:10:35	7.0678
2021-06-01 03:11:35	7.0798
2021-06-01 03:12:35	7.0559
2021-06-01 03:13:35	7.1333
2021-06-01 03:14:35	7.0333
2021-06-01 03:15:35	6.8833
2021-06-01 03:16:35	7.1691
2021-06-01 03:17:35	7.0988
2021-06-01 03:18:35	6.869
2021-06-01 03:19:35	7.3012
2021-06-01 03:20:35	6.8667
2021-06-01 03:21:35	7.2
2021-06-01 03:22:35	7.1333
2021-06-01 03:23:35	7.6333
2021-06-01 03:24:35	7.0357
2021-06-01 03:25:35	7.1167
2021-06-01 03:26:35	6.8822
2021-06-01 03:27:35	7.019
2021-06-01 03:28:35	7.1975999999999996
2021-06-01 03:29:35	7.0535
2021-06-01 03:30:35	6.8511
2021-06-01 03:31:35	7.2679
2021-06-01 03:32:35	6.8167
2021-06-01 03:33:35	6.9833
2021-06-01 03:34:35	7.0988
2021-06-01 03:35:35	7.1369
2021-06-01 03:36:35	6.6655999999999995
2021-06-01 03:37:35	7.4692
2021-06-01 03:38:35	8.3
2021-06-01 03:39:35	7.0348
2021-06-01 03:40:35	7.4687
2021-06-01 03:41:35	7.0333
2021-06-01 03:42:35	7.3167
2021-06-01 03:43:35	7.4679
2021-06-01 03:44:35	7.3821
2021-06-01 03:45:35	7.0023
2021-06-01 03:46:35	7.3821
2021-06-01 03:47:35	7.3203
2021-06-01 03:48:35	7.0833
2021-06-01 03:49:35	7.3679
2021-06-01 03:50:35	7.3333
2021-06-01 03:51:35	7.0345
2021-06-01 03:52:35	7.4333
2021-06-01 03:53:35	8.2514
