sensortype,sensor_description,channels
cloudhttp,https://www.paessler.com/manuals/prtg/cloud_http_v2_sensor,cloudhttp_asia_pacific_tokyo_response_code_success_200
,,cloudhttp_us_west_oregon_response_code_success_200
,,cloudhttp_eu_west_ireland_response_code_success_200
,,cloudhttp_us_east_n_virginia_response_code_success_200
,,cloudhttp_global_average_response_time
,,cloudhttp_us_east_n_virginia_response_time
,,cloudhttp_asia_pacific_tokyo_response_time
,,cloudhttp_eu_west_ireland_response_time
,,cloudhttp_us_west_oregon_response_time
cloudping,https://www.paessler.com/manuals/prtg/cloud_ping_v2_sensor,cloudping_global_average_response_time
,,cloudping_us_east_n_virginia_response_time
,,cloudping_asia_pacific_tokyo_response_time
,,cloudping_eu_west_ireland_response_time
,,cloudping_us_west_oregon_response_time
cloudwatchebs,https://www.paessler.com/manuals/prtg/amazon_cloudwatch_ebs_sensor,cloudwatchebs_total
,,cloudwatchebs_idle_percent
,,cloudwatchebs_queue_length
,,cloudwatchebs_disk_read
,,cloudwatchebs_disk_write
,,cloudwatchebs_read_ops
,,cloudwatchebs_write_ops
,,cloudwatchebs_total_read_time
,,cloudwatchebs_total_write_time
cloudwatchec2,https://www.paessler.com/manuals/prtg/amazon_cloudwatch_ec2_sensor,cloudwatchec2_cpu_utilization
,,cloudwatchec2_network_in
,,cloudwatchec2_network_out
,,cloudwatchec2_cpu_credit_usage
,,cloudwatchec2_cpu_credit_balance
cloudwatchsns,https://www.paessler.com/manuals/prtg/amazon_cloudwatch_sns_sensor,cloudwatchsns_notifications_delivered
,,cloudwatchsns_notifications_failed
,,cloudwatchsns_messages_published_size
commonsaas,https://www.paessler.com/manuals/prtg/common_saas_sensor,commonsaas_available_services
,,commonsaas_office_365
,,commonsaas_bing
,,commonsaas_google_apps
,,commonsaas_dropbox
,,commonsaas_salesforce
,,commonsaas_github
,,commonsaas_facebook
,,commonsaas_twitter
,,commonsaas_youtube
dhcp,https://www.paessler.com/manuals/prtg/dhcp_sensor,dhcp_response_time
dns,,dns_response_time
dropbox,https://www.paessler.com/manuals/prtg/dropbox_sensor,dropbox_storage_free_percent
esxserverhealthsensorextern,https://www.paessler.com/manuals/prtg/vmware_host_hardware_status_soap_sensor,esxserverhealthsensorextern_normal_states
,,esxserverhealthsensorextern_unknown_states
esxserversensorextern,https://www.paessler.com/manuals/prtg/vmware_host_performance_soap_sensor,esxserversensorextern_power
,,esxserversensorextern_memory_swap_used
,,esxserversensorextern_network_received
,,esxserversensorextern_datastore_total_writelatency
,,esxserversensorextern_network_usage
,,esxserversensorextern_diskkernellatency
,,esxserversensorextern_diskdevicelatency
,,esxserversensorextern_datastore_total_readlatency
,,esxserversensorextern_memory_active
,,esxserversensorextern_network_transmitted
,,esxserversensorextern_memory_consumed_percent
,,esxserversensorextern_memory_consumed
,,esxserversensorextern_disk_usage
,,esxserversensorextern_cpu_ready_percent
,,esxserversensorextern_cpu_ready
,,esxserversensorextern_disk_read
,,esxserversensorextern_disk_write
,,esxserversensorextern_cpu_usage
folder,https://www.paessler.com/manuals/prtg/folder_sensor,folder_folder_size
,,folder_file_count
,,folder_execution_time
,,folder_oldest_file
